,hh_id,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,weighted_sum,multi_poor,ind_id_count
97,520,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
98,521,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
99,522,0.0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,6
100,523,0.0,0.0,0.0,1.0,0,0,0,1.0,1,0,0.2777777777777778,0.0,1
101,524,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
102,525,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
103,601,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,6
104,602,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
105,603,0.0,0.0,0.0,0.0,0,0,1,0.0,1,0,0.1111111111111111,0.0,4
106,604,0.0,0.0,0.0,0.0,1,0,0,0.0,1,1,0.1666666666666666,0.0,1
107,605,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
108,606,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
109,607,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
110,608,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
111,609,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0,0.0555555555555555,0.0,4
112,610,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
113,611,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
114,612,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
115,613,0.0,0.0,0.0,0.0,0,0,1,1.0,1,0,0.1666666666666666,0.0,3
116,614,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0555555555555555,0.0,4
117,616,1.0,1.0,0.0,0.0,0,0,0,1.0,0,0,0.3888888888888888,1.0,4
118,617,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,7
119,618,0.0,0.0,1.0,0.0,0,0,0,0.0,0,1,0.2222222222222222,0.0,3
120,619,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,4
121,620,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,0.0555555555555555,0.0,5
122,621,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
